review_id,employee_id,review_date,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,job_involvement,work_life_balance,training_times_last_year,percent_salary_hike
REV-000001,1,2023-12-15,3,3,3,3,2,4,1,16
REV-000002,2,2020-12-26,2,2,5,1,3,3,2,11
REV-000003,2,2021-12-24,4,1,3,2,2,4,1,15
REV-000004,2,2022-12-03,4,2,5,1,2,2,3,11
REV-000005,2,2023-12-20,3,2,3,1,1,2,2,13
REV-000006,4,2021-12-26,3,2,2,2,4,1,3,11
REV-000007,4,2022-12-04,4,1,2,1,4,1,3,14
REV-000008,4,2023-12-13,3,3,1,1,4,1,2,12
REV-000009,5,2014-12-25,4,4,3,5,3,2,2,17
REV-000010,5,2015-12-23,2,3,1,4,4,1,4,17
REV-000011,5,2016-12-20,3,4,2,4,4,2,3,17
REV-000012,5,2017-12-01,3,2,2,4,4,1,3,19
REV-000013,5,2018-12-22,3,3,2,5,4,2,2,17
REV-000014,5,2019-12-18,4,3,2,4,4,2,4,17
REV-000015,5,2020-12-15,4,3,1,5,4,3,3,15
REV-000016,5,2021-12-16,3,4,2,5,4,2,2,19
REV-000017,5,2022-12-03,2,4,2,4,4,2,4,15
REV-000018,5,2023-12-03,3,2,1,5,4,1,4,15
REV-000019,6,2009-12-21,4,3,2,2,3,3,2,11
REV-000020,6,2010-12-11,3,2,1,1,3,3,4,14
REV-000021,6,2011-12-01,2,2,3,3,3,3,4,11
REV-000022,6,2012-12-18,3,3,2,2,3,4,4,12
REV-000023,6,2013-12-01,3,3,3,2,3,3,2,12
REV-000024,6,2014-12-27,2,3,2,2,3,3,2,12
REV-000025,6,2015-12-16,3,4,3,3,2,3,4,11
REV-000026,6,2016-12-10,3,2,2,1,2,3,3,12
REV-000027,6,2017-12-04,2,4,2,1,2,3,4,14
REV-000028,6,2018-12-24,3,2,3,2,3,2,4,12
REV-000029,6,2019-12-26,3,4,2,3,3,3,3,14
REV-000030,6,2020-12-11,4,2,2,3,4,3,4,12
REV-000031,6,2021-12-06,3,2,2,3,3,4,4,14
REV-000032,6,2022-12-22,3,4,2,2,2,3,2,11
REV-000033,6,2023-12-10,2,3,3,2,3,4,2,14
REV-000034,7,2021-12-10,2,2,1,2,3,2,0,14
REV-000035,7,2022-12-26,3,2,1,3,3,2,0,16
REV-000036,7,2023-12-16,2,3,1,3,3,3,0,16
REV-000037,8,2017-12-20,3,2,3,2,3,4,3,11
REV-000038,8,2018-12-22,3,2,3,1,3,4,2,13
REV-000039,8,2019-12-17,3,2,3,1,2,4,2,15
REV-000040,8,2020-12-25,4,2,4,2,3,3,2,13
REV-000041,8,2021-12-13,3,3,3,1,2,4,1,13
REV-000042,8,2022-12-22,3,2,3,1,3,4,3,15
REV-000043,8,2023-12-24,3,2,3,2,2,4,2,11
REV-000044,9,2006-12-18,3,1,1,1,4,2,1,14
REV-000045,9,2007-12-09,4,2,2,1,4,4,3,18
REV-000046,9,2008-12-06,2,2,2,2,3,3,2,16
REV-000047,9,2009-12-17,4,2,2,1,4,4,1,16
REV-000048,9,2010-12-15,3,1,3,1,3,3,1,14
REV-000049,9,2011-12-13,3,2,2,1,3,4,1,14
REV-000050,9,2012-12-02,3,1,2,2,3,4,2,14
REV-000051,9,2013-12-10,2,2,3,3,3,2,1,16
REV-000052,9,2014-12-06,3,1,2,2,3,3,1,18
REV-000053,9,2015-12-20,3,1,1,1,4,3,1,18
REV-000054,9,2016-12-08,4,1,2,2,3,4,2,18
REV-000055,9,2017-12-08,4,1,1,2,2,3,3,18
REV-000056,9,2018-12-07,2,2,2,2,3,3,3,14
REV-000057,9,2019-12-26,3,2,2,2,2,3,1,16
REV-000058,9,2020-12-25,3,2,2,2,3,3,3,14
REV-000059,9,2021-12-05,4,1,2,3,3,2,1,18
REV-000060,9,2022-12-02,3,1,3,2,3,3,2,16
REV-000061,9,2023-12-07,4,1,2,1,4,2,1,18
REV-000062,10,2021-12-27,3,2,3,3,2,1,4,15
REV-000063,10,2022-12-24,4,2,4,3,3,1,3,13
REV-000064,10,2023-12-09,4,2,3,4,3,2,2,13
REV-000065,11,2015-12-06,2,4,2,3,2,4,2,11
REV-000066,11,2016-12-14,4,3,3,2,3,4,2,13
REV-000067,11,2017-12-18,2,3,3,3,1,4,4,13
REV-000068,11,2018-12-05,3,4,3,1,2,4,3,11
REV-000069,11,2019-12-13,2,3,4,2,2,4,4,11
REV-000070,11,2020-12-03,2,3,2,2,2,4,2,11
REV-000071,11,2021-12-27,3,2,3,2,3,4,3,11
REV-000072,11,2022-12-12,4,3,4,1,2,4,4,11
REV-000073,11,2023-12-03,3,2,3,2,2,4,4,11
REV-000074,12,2020-12-07,4,3,4,2,3,3,5,23
REV-000075,12,2021-12-08,3,4,5,2,4,4,4,21
REV-000076,12,2022-12-07,3,4,4,2,3,3,4,21
REV-000077,12,2023-12-18,4,3,4,2,3,3,5,25
REV-000078,13,2022-12-09,2,2,2,3,3,1,1,15
REV-000079,13,2023-12-27,3,2,1,1,3,1,3,15
REV-000080,14,2019-12-27,3,4,1,3,3,2,5,18
REV-000081,14,2020-12-07,3,4,2,2,3,2,3,18
REV-000082,14,2021-12-06,3,2,1,3,4,3,5,16
