assignment_id,employee_id,project_id,assignment_role,allocation_percentage,start_date,end_date
ASN-00001,23655,PRJ-0861,Consultant,50,2022-01-05,2022-04-23
ASN-00002,15796,PRJ-1295,Contributor,100,2021-01-04,
ASN-00003,861,PRJ-1131,Contributor,100,2021-08-26,
ASN-00004,5391,PRJ-1096,Contributor,50,2023-01-11,
ASN-00005,21576,PRJ-1639,Contributor,75,2022-07-07,
ASN-00006,11965,PRJ-2170,Contributor,100,2019-07-09,
ASN-00007,11285,PRJ-0467,Contributor,50,2022-12-21,
ASN-00008,22119,PRJ-1239,Reviewer,25,2021-10-10,2022-07-02
ASN-00009,6266,PRJ-0331,Reviewer,75,2018-01-30,
ASN-00010,16851,PRJ-1483,Contributor,75,2022-07-29,
ASN-00011,4427,PRJ-2136,Contributor,50,2018-05-11,
ASN-00012,21963,PRJ-0131,Contributor,100,2018-05-19,
ASN-00013,14424,PRJ-1686,Reviewer,50,2022-05-16,2022-11-14
ASN-00014,11364,PRJ-0770,Reviewer,75,2022-01-02,
ASN-00015,16024,PRJ-2392,Lead,25,2022-09-24,2022-11-04
ASN-00016,8323,PRJ-1516,Reviewer,25,2018-02-15,2018-06-28
ASN-00017,1686,PRJ-2434,Reviewer,75,2021-07-08,
ASN-00018,770,PRJ-1216,Reviewer,100,2019-08-25,2023-03-05
ASN-00019,23334,PRJ-0956,Contributor,100,2021-01-20,2021-06-28
ASN-00020,2434,PRJ-2325,Contributor,75,2018-01-30,2018-02-18
ASN-00021,5312,PRJ-1185,Contributor,75,2020-01-09,
ASN-00022,5052,PRJ-0460,Contributor,100,2018-01-19,
ASN-00023,6421,PRJ-0022,Reviewer,25,2020-09-05,2021-02-19
ASN-00024,17569,PRJ-2301,Contributor,50,2021-06-23,2021-10-29
ASN-00025,20940,PRJ-0748,Contributor,25,2019-08-06,
ASN-00026,19770,PRJ-0475,Reviewer,50,2020-10-09,
ASN-00027,6397,PRJ-1083,Lead,100,2018-04-21,2019-01-09
ASN-00028,8667,PRJ-2048,Contributor,50,2019-08-22,
ASN-00029,18943,PRJ-0976,Contributor,50,2021-05-02,2021-08-20
ASN-00030,24234,PRJ-1807,Contributor,50,2021-01-15,
ASN-00031,18432,PRJ-0190,Consultant,50,2022-05-25,2022-12-16
ASN-00032,2748,PRJ-0563,Contributor,25,2018-07-13,2019-04-03
ASN-00033,190,PRJ-1900,Contributor,100,2020-01-04,2021-10-04
ASN-00034,19119,PRJ-1268,Reviewer,25,2022-01-12,2023-12-12
ASN-00035,3006,PRJ-1529,Consultant,100,2020-01-15,2020-01-26
ASN-00036,21043,PRJ-0647,Contributor,100,2022-12-30,
ASN-00037,1900,PRJ-2069,Contributor,100,2022-01-11,
ASN-00038,24119,PRJ-2215,Contributor,25,2021-07-29,2023-10-14
ASN-00039,1268,PRJ-1298,Contributor,50,2021-01-01,2021-05-20
ASN-00040,17913,PRJ-2436,Contributor,25,2020-01-11,
ASN-00041,11395,PRJ-0601,Consultant,25,2020-10-17,2023-12-04
ASN-00042,3557,PRJ-2364,Contributor,100,2022-01-11,
ASN-00043,3891,PRJ-2062,Contributor,100,2020-03-05,
ASN-00044,8839,PRJ-0242,Contributor,100,2022-11-28,
ASN-00045,14503,PRJ-2042,Contributor,25,2021-01-04,
ASN-00046,21778,PRJ-1364,Contributor,100,2020-10-08,2021-03-16
ASN-00047,10628,PRJ-2140,Contributor,100,2018-04-09,2020-07-20
ASN-00048,8793,PRJ-1391,Contributor,100,2020-02-17,2023-01-12
ASN-00049,10556,PRJ-1479,Contributor,100,2021-01-01,
ASN-00050,10254,PRJ-0776,Contributor,50,2020-09-30,2023-01-31
ASN-00051,8434,PRJ-0035,Reviewer,25,2023-01-02,2023-07-18
ASN-00052,10234,PRJ-2254,Consultant,25,2022-11-01,
ASN-00053,11017,PRJ-1956,Contributor,100,2019-11-20,2023-05-08
ASN-00054,23898,PRJ-1586,Reviewer,25,2020-05-18,2022-02-21
ASN-00055,2613,PRJ-1022,Contributor,100,2018-08-03,2021-04-10
ASN-00056,23426,PRJ-1130,Contributor,50,2021-03-24,
ASN-00057,22620,PRJ-1501,Contributor,100,2021-11-26,
ASN-00058,21871,PRJ-0703,Contributor,75,2021-11-20,2022-02-17
ASN-00059,23484,PRJ-2450,Contributor,50,2022-05-05,
ASN-00060,15788,PRJ-1580,Consultant,50,2023-01-07,
ASN-00061,17160,PRJ-0162,Contributor,50,2019-12-01,
ASN-00062,12207,PRJ-0202,Consultant,25,2022-08-26,2023-08-08
ASN-00063,8227,PRJ-1982,Contributor,50,2018-09-04,
ASN-00064,14542,PRJ-0996,Contributor,25,2022-04-24,
ASN-00065,3153,PRJ-2318,Contributor,100,2023-01-14,2023-05-16
ASN-00066,1586,PRJ-0816,Reviewer,50,2019-12-17,2020-01-08
ASN-00067,3944,PRJ-0456,Lead,25,2021-08-07,2021-10-12
ASN-00068,23940,PRJ-1276,Reviewer,100,2022-01-04,
ASN-00069,19458,PRJ-1017,Contributor,25,2018-12-23,2019-11-09
ASN-00070,1022,PRJ-2344,Reviewer,100,2022-01-09,2022-04-07
ASN-00071,11654,PRJ-0338,Contributor,25,2022-10-11,2023-01-30
ASN-00072,10806,PRJ-0879,Contributor,25,2022-04-19,2023-10-27
ASN-00073,13418,PRJ-1077,Reviewer,100,2021-03-18,2021-03-21
ASN-00074,20228,PRJ-0792,Contributor,25,2022-07-19,2022-07-23
ASN-00075,7990,PRJ-2265,Lead,50,2022-10-19,2023-03-22
ASN-00076,9693,PRJ-0764,Lead,100,2021-07-22,
ASN-00077,12991,PRJ-2236,Contributor,100,2022-04-12,
ASN-00078,6874,PRJ-0380,Reviewer,25,2022-07-02,
ASN-00079,5676,PRJ-0493,Contributor,25,2020-12-27,
ASN-00080,162,PRJ-1181,Contributor,50,2021-03-03,
ASN-00081,4298,PRJ-2063,Contributor,100,2021-03-19,2023-09-20
ASN-00082,996,PRJ-0065,Reviewer,100,2021-08-29,
ASN-00083,11535,PRJ-1368,Contributor,50,2021-02-18,
ASN-00084,7630,PRJ-1153,Contributor,25,2021-09-07,2022-10-26
ASN-00085,1017,PRJ-2028,Contributor,100,2020-11-06,
ASN-00086,24254,PRJ-1496,Reviewer,50,2021-02-07,2022-06-12
ASN-00087,22824,PRJ-1163,Lead,100,2022-11-23,
ASN-00088,24277,PRJ-1523,Lead,100,2018-07-19,2018-11-04
ASN-00089,23248,PRJ-0392,Lead,25,2019-09-22,
ASN-00090,24301,PRJ-1699,Reviewer,100,2022-01-14,
ASN-00091,8530,PRJ-0419,Reviewer,100,2018-01-14,
ASN-00092,17263,PRJ-2337,Contributor,50,2019-05-07,
ASN-00093,9269,PRJ-0379,Lead,25,2022-10-12,
ASN-00094,21272,PRJ-1797,Reviewer,75,2022-09-16,
ASN-00095,12186,PRJ-2279,Reviewer,100,2021-08-09,
ASN-00096,21244,PRJ-2089,Consultant,100,2020-11-24,
ASN-00097,6332,PRJ-2183,Reviewer,100,2022-03-27,
ASN-00098,8572,PRJ-0201,Contributor,100,2021-01-09,
ASN-00099,7209,PRJ-1864,Contributor,100,2020-09-09,
ASN-00100,5277,PRJ-0780,Contributor,100,2022-04-29,
ASN-00101,18447,PRJ-0503,Contributor,50,2021-01-14,
ASN-00102,16449,PRJ-2455,Contributor,25,2022-01-28,2022-12-04
ASN-00103,16217,PRJ-1752,Lead,100,2020-01-03,
ASN-00104,8007,PRJ-0805,Reviewer,25,2022-01-17,2023-08-11
ASN-00105,2569,PRJ-2147,Lead,75,2022-09-10,
ASN-00106,21848,PRJ-1896,Lead,100,2022-05-08,
ASN-00107,2028,PRJ-1571,Lead,75,2022-08-06,2023-02-12
ASN-00108,2696,PRJ-0961,Consultant,75,2021-01-14,2021-11-28
ASN-00109,15423,PRJ-1486,Consultant,50,2022-12-19,2023-05-02
ASN-00110,5259,PRJ-1029,Contributor,75,2021-04-02,2021-08-25
ASN-00111,22003,PRJ-0503,Contributor,50,2021-01-10,2021-03-03
ASN-00112,6737,PRJ-0398,Lead,75,2022-01-05,2022-08-29
ASN-00113,392,PRJ-0871,Consultant,25,2018-11-09,2022-02-22
ASN-00114,13987,PRJ-0393,Contributor,50,2020-05-26,
ASN-00115,12667,PRJ-0207,Contributor,100,2019-11-03,
ASN-00116,5893,PRJ-1039,Contributor,75,2018-09-23,
ASN-00117,3562,PRJ-1882,Consultant,100,2018-11-07,2022-09-27
ASN-00118,6185,PRJ-1485,Reviewer,50,2019-06-05,2020-10-08
ASN-00119,19484,PRJ-0864,Reviewer,25,2021-02-15,
ASN-00120,22663,PRJ-0564,Contributor,25,2021-03-03,2021-12-29
ASN-00121,8393,PRJ-1021,Contributor,100,2020-03-17,
ASN-00122,13068,PRJ-0096,Contributor,50,2021-03-02,
ASN-00123,15266,PRJ-1924,Contributor,50,2022-09-27,
ASN-00124,19489,PRJ-1758,Contributor,100,2020-10-10,
ASN-00125,23600,PRJ-2279,Consultant,25,2021-07-30,
ASN-00126,2455,PRJ-1679,Reviewer,50,2021-02-16,
ASN-00127,11838,PRJ-0541,Contributor,100,2019-01-15,2022-04-25
ASN-00128,14040,PRJ-1060,Contributor,100,2023-01-09,2023-04-28
ASN-00129,19116,PRJ-1184,Contributor,100,2021-12-12,
ASN-00130,10966,PRJ-1723,Reviewer,50,2021-10-31,2022-07-22
ASN-00131,24539,PRJ-1820,Contributor,50,2019-02-12,
ASN-00132,9763,PRJ-1598,Consultant,100,2022-08-26,
ASN-00133,5057,PRJ-0796,Contributor,100,2021-11-09,
ASN-00134,14949,PRJ-1052,Contributor,100,2021-11-05,
ASN-00135,8111,PRJ-1644,Contributor,100,2019-06-01,
ASN-00136,13774,PRJ-1364,Contributor,25,2020-10-02,
ASN-00137,20225,PRJ-1982,Contributor,100,2020-01-05,
ASN-00138,17413,PRJ-1355,Reviewer,100,2020-07-30,2020-12-09
ASN-00139,23770,PRJ-1664,Contributor,50,2022-11-30,2023-11-11
