history_id,employee_id,change_date,change_type,old_department_id,old_job_role,old_job_level,old_base_salary
HIS-00001,3929,2011-05-19,Promotion,DPT-005,Senior Engineer,2,9626
HIS-00002,20012,2022-09-22,Promotion,DPT-001,Senior Sales Exec,2,7366
HIS-00003,22363,2022-06-25,Merit Increase,DPT-007,Operations Analyst,2,5833
HIS-00004,9657,2022-09-24,Merit Increase,DPT-007,Operations Asst,1,2462
HIS-00005,11551,2021-05-21,Department Transfer,DPT-002,Sales Manager,4,17444
HIS-00006,21505,2021-09-03,Promotion,DPT-006,Marketing Manager,3,14468
HIS-00007,24213,2022-10-30,Merit Increase,DPT-005,IT Support,1,3462
HIS-00008,4176,2022-01-17,Promotion,DPT-007,Operations Manager,3,11276
HIS-00009,15025,2022-10-05,Promotion,DPT-001,Sales Executive,1,8086
HIS-00010,20166,2022-06-22,Merit Increase,DPT-002,Research Scientist,2,4113
HIS-00011,22462,2020-03-26,Department Transfer,DPT-002,Marketing Specialist,2,6282
HIS-00012,5747,2015-12-14,Merit Increase,DPT-005,Software Engineer,2,3535
HIS-00013,15079,2017-07-24,Promotion,DPT-001,Sales Representative,1,2808
HIS-00014,4899,2021-09-18,Merit Increase,DPT-001,Sales Executive,2,5021
HIS-00015,7655,2020-12-30,Promotion,DPT-006,Marketing Specialist,1,5097
HIS-00016,2202,2018-02-21,Promotion,DPT-001,Sales Executive,1,3661
HIS-00017,6393,2020-05-08,Merit Increase,DPT-006,Marketing Coord,1,3222
HIS-00018,13172,2022-10-26,Department Transfer,DPT-002,HR Generalist,2,4761
HIS-00019,1949,2017-08-14,Merit Increase,DPT-002,R&D Director,5,17313
HIS-00020,4068,2021-10-24,Department Transfer,DPT-004,Operations Asst,1,3126
HIS-00021,16247,2021-11-13,Department Transfer,DPT-004,Research Scientist,2,3954
HIS-00022,12853,2021-11-21,Merit Increase,DPT-007,Operations Analyst,2,5620
HIS-00023,5682,2021-08-30,Promotion,DPT-004,Financial Clerk,1,3197
HIS-00024,11160,2021-09-09,Department Transfer,DPT-006,Senior Engineer,3,7713
HIS-00025,8879,2021-08-03,Merit Increase,DPT-002,Lab Technician,1,2479
HIS-00026,5167,2021-11-07,Merit Increase,DPT-002,Lab Technician,1,2773
HIS-00027,14978,2021-06-27,Promotion,DPT-002,Research Scientist,1,3422
HIS-00028,12630,2021-06-20,Merit Increase,DPT-005,IT Support,1,3713
HIS-00029,11947,2019-04-09,Merit Increase,DPT-002,Lab Technician,1,1861
HIS-00030,4869,2013-11-10,Promotion,DPT-005,Senior Engineer,2,7232
HIS-00031,3561,2020-03-20,Department Transfer,DPT-006,Lab Technician,1,3140
HIS-00032,11693,2020-05-27,Promotion,DPT-006,Marketing Specialist,1,3651
HIS-00033,16522,2018-10-03,Department Transfer,DPT-007,Marketing Specialist,2,5996
HIS-00034,7816,2017-08-19,Merit Increase,DPT-004,Senior Analyst,3,10693
HIS-00035,2386,2019-10-07,Department Transfer,DPT-002,IT Manager,4,15462
HIS-00036,9170,2020-02-12,Promotion,DPT-002,Research Scientist,1,3718
